Sheet,Category,Item,Detail
MCP Concepts,Protocol,MCP,Model Context Protocol - Universal connector for AI-tool communication
MCP Concepts,Protocol,JSON-RPC 2.0,Wire protocol for MCP messages
MCP Concepts,Transport,STDIO,Client spawns server as child process (stdin/stdout)
MCP Concepts,Transport,SSE,Client connects via HTTP (Server-Sent Events)
MCP Concepts,Handshake,initialize,Client sends capabilities negotiation
MCP Concepts,Handshake,tools/list,Client discovers available tools
MCP Concepts,Handshake,tools/call,Client executes a specific tool
MCP Concepts,Role,Host,AI application that initiates connection
MCP Concepts,Role,Client,Maintains 1:1 connection with server
MCP Concepts,Role,Server,Exposes tools/resources/prompts
MCP Concepts,Role,Tool,Executable function the AI can call
MCP Concepts,Security,Principle,AI never communicates directly with cloud
Tools,1,scan_environment,Scan AWS services for resources and misconfigurations
Tools,1,scan_environment - Input,"{ services?: AwsService[] }"
Tools,1,scan_environment - Output,ScanResult with findings + score
Tools,2,list_findings,Retrieve findings from last scan
Tools,2,list_findings - Input,"{ severity?: string; service?: string }"
Tools,2,list_findings - Output,"{ findings: Finding[]; total: number }"
Tools,3,describe_finding,Get full details for a specific finding
Tools,3,describe_finding - Input,"{ findingId: string }"
Tools,3,describe_finding - Output,"{ finding: Finding; catalog: FindingCatalogEntry }"
Tools,4,security_score,Compute current security posture score
Tools,4,security_score - Input,{}
Tools,4,security_score - Output,"SecurityScore { score, grade, breakdown }"
Tools,5,generate_report,Generate executive Markdown report
Tools,5,generate_report - Input,{}
Tools,5,generate_report - Output,"Report { markdown, score, recommendations }"
Tools,6,generate_cli_fix,Generate AWS CLI remediation commands
Tools,6,generate_cli_fix - Input,"{ findingId: string }"
Tools,6,generate_cli_fix - Output,"{ content, summary, provider }"
Tools,7,generate_terraform_fix,Generate Terraform HCL remediation
Tools,7,generate_terraform_fix - Input,"{ findingId: string }"
Tools,7,generate_terraform_fix - Output,"{ content, summary, provider }"
Tools,8,approve_remediation,Approve findings for remediation
Tools,8,approve_remediation - Input,"{ findingIds, approvedBy, note }"
Tools,8,approve_remediation - Output,"Approval { approvalId, status, approvedBy }"
Tools,9,execute_remediation,Apply approved remediations to AWS
Tools,9,execute_remediation - Input,"{ approvalId: string }"
Tools,9,execute_remediation - Output,"{ results, score }"
Tools,10,rescan_environment,Re-scan environment
Tools,10,rescan_environment - Input,{}
Tools,10,rescan_environment - Output,ScanResult
Tools,11,health,Check server connectivity
Tools,11,health - Input,{}
Tools,11,health - Output,"{ status, version, cloudProvider }"
Rules,MCPS-S3-001,Critical,Public S3 Bucket - Check Block Public Access + ACLs + policies
Rules,MCPS-IAM-001,Critical,AdministratorAccess Attached to IAM User
Rules,MCPS-IAM-002,Critical,Old IAM Access Keys (not rotated >90 days)
Rules,MCPS-EC2-001,High,SSH (Port 22) Open to Internet
Rules,MCPS-EC2-002,High,RDP (Port 3389) Open to Internet
Rules,MCPS-S3-002,High,S3 Bucket Missing Default Encryption
Rules,MCPS-S3-003,High,S3 Bucket Versioning Disabled
Rules,MCPS-CT-001,High,CloudTrail Disabled or Not Logging
Rules,MCPS-SSM-001,High,Unencrypted SSM Sensitive Parameter
Rules,MCPS-IAM-003,Medium,Weak IAM Account Password Policy
Rules,MCPS-IAM-004,Medium,Unused IAM User (>90 days inactive)
Rules,MCPS-IAM-005,Medium,Unused IAM Access Keys (>90 days unused)
Rules,MCPS-S3-004,Medium,S3 Bucket Server Access Logging Disabled
Rules,MCPS-LM-001,Medium,Lambda Deprecated/Outdated Runtime
Rules,MCPS-SQS-001,Medium,SQS Queue Missing Server Encryption
Rules,MCPS-SNS-001,Medium,SNS Topic Missing Server Encryption
Rules,MCPS-DDB-001,Medium,DynamoDB Table Missing KMS Customer Key
Rules,MCPS-SEC-001,Medium,Secrets Manager Secret Missing KMS Key
